,id,Division,Jira_ticket,State,Name,Notes,Merge,Legacy_URL,New_URL,Page_title
0,1,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-441,Client Review,DCI,Planned integration/auto migration,,https://insurance.mo.gov/CompanyAgentSearch/search/SearchEnforcementActions.php,http://insurance-new.mo.gov/enforcement-actions,Enforcement Action Search
1,2,Insurance,,Client Review,DCI,- Enforcement action integration Planned integration/auto migration; see above; see also https://insurance.mo.gov/CompanyAgentSearch/search/search-agents.php,,https://insurance.mo.gov/CompanyAgentSearch/search/searchResults2.php?ID=1477,https://insurance-new.mo.gov/enforcement-actions,Insurance Agent/Agency Search
2,3,Insurance,,Not migrating,,Duplicate,,http://insurance.mo.gov/consumers/home/index.php,,Homeowners Insurance
3,4,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-441,Not migrating,,DELETED / NOT MIGRATING,,http://insurance.mo.gov/renewin3/,,Insurance Producer Licensing Renewal
4,5,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-321,Client Review,DCI,Needs to be moved When About landing page is created.,,https://insurance.mo.gov/about/pastdir.php,https://insurance-new.mo.gov/topic/31/past-directors,Past Directors of the Department of Insurance
5,6,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-430,Not migrating,,Duplicate,,https://insurance.mo.gov/agents/ce/ce_application.php,,Continuing Education Providers
6,7,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-430,Not migrating,,Duplicate; From DCI: Consolidate with other continuing education pages,,https://insurance.mo.gov/agents/ce/ce_ltc.php,,Long-Term Care Training Requirement
7,8,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-430,Not migrating,,"Duplicate; From DCI: Content is somewhat unimportant compared to the link to SIRCON where the courses are accessed. Preference is to link to the law instead of explain the law. So as part of consolidation, this description can be reduced. The law must be shared, though. ",,https://insurance.mo.gov/agents/ce/ce_requirements.php,,Agent/Producer Continuing Education Requirements
8,9,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-430,Content Review,Jim,,,https://insurance.mo.gov/agents/ce/ce_res.php,https://insurance-new.mo.gov/agentproducer-continuing-education-requirements,Agent/Producer Continuing Education Requirements
9,10,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-391,In Progress,Alex,"From DCI: Consider distinction of providers, who provide training to the producers. This language is not always well understood. ",,https://insurance.mo.gov/agents/electronics.php,,Portable Electronics Insurance Licensing
10,11,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,Not migrating,,Duplicate; From DCI: Will be built into Other Licensees page with accordions. ,,https://insurance.mo.gov/agents/entity/entity_nonres_lic.php,,Non-Resident Business Entity Producer Licensing Requirements
11,12,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,Not migrating,,"Duplicate; From DCI: Consider ways to clarify the path between resident and non-resident. Cards/tiles? ""Are you a Missouri resident?"" and other descriptive text to help. Consider using ""Business Entity Producers"" to distinguish entities. ",,https://insurance.mo.gov/agents/entity/entity_res_lic.php,,Resident Agency/Business Entity Producer Licensing
