Site/Division,Jira Ticket #,State,Name,Notes,Merge,Legacy URL,New URL,Page Title
DCI,,,,,,https://dci.mo.gov/director.php,,About the Director
DCI,,,,,,https://dci.mo.gov/contact.php,,Contact Us
DCI,,,,,,https://dci.mo.gov/about.php,,About DCI
DCI,,,,,,https://dci.mo.gov/bids/,,DCI Purchasing
DCI,,,,,,https://dci.mo.gov/complaints/,,Consumer Complaints
DCI,,,,,,https://dci.mo.gov/forms/,,Industry Forms
DCI,,,,,,https://dci.mo.gov/licensing/,,Licensing
DCI,,,,,,https://dci.mo.gov/licensing/veterans_reimbursement.php,,Veterans Reimbursement for Licensing Exams
DCI,,,,,,https://dci.mo.gov/map.php,,Map to DCI Main Office
DCI,,,,,,https://dci.mo.gov/PRMap.php,,Map to Division of Professional Registration Main Office
DCI,,,,,,https://dci.mo.gov/CUMap.php,,Map to Division of Credit Unions Main Office
DCI,,,,,,https://dci.mo.gov/FIMap.php,,Map to Division of Finance Main Office
DCI,,,,,,https://dci.mo.gov/news/archive/year/2009,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2013,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2012,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2011,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2010,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2014,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2016,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2015,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2017,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2019,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2018,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2020,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2022,,DCI News
DCI,,,,,,https://dci.mo.gov/news/archive/year/2021,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/bef22aa3-b513-41b1-abc4-afae9231d8b5,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ac6d57a5-c33d-4d70-a2e1-dad19b8e2bbe,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/dc1e275d-f8f2-4b36-95fc-14ffd17549ac,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/6ae97eb6-cf3c-4b9d-9932-ed3de82b374a,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/87b324e4-5f7d-4d57-981b-4509ea33df20,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/abb8a772-0f41-4673-ad19-00363b06c803,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/8905b787-6c20-42e4-981b-ba58cc988ba6,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/afe32eb2-980e-44db-a1f7-2441e9d01718,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/4cfcb69e-4eb6-4814-afeb-596a510c4474,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/29b1f0d0-07d3-4d75-8784-468e6fe49682,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/916ae243-191b-4655-9844-a6957af8a911,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/0413f20a-4bf9-4f37-b34d-ff371fee5b3b,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/8ba9fcd1-7944-4a27-bc37-ae9c3717ecd4,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/0c39111e-d9a9-4849-a0cb-894e0c1b091f,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1a6211c1-1dd1-450e-9293-5a5bf4e8c31c,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1bff187c-9292-4c9d-97f9-30416780d537,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/cedcc346-6442-48de-af2d-3793c975800c,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/a468800b-34e8-4145-b519-ca70ecef6538,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/55d0c707-b28e-4025-8bbb-f06de3f0e9b0,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/a2ccc0bc-3ba5-47f7-bc79-d2f9b4cc460b,,DCI News
